пп;Код;Автор;Наименование;Издат-во;ISBN;Станд.;Код аналога;Год;ФП;ФГОС;02 ИЗДАТЕЛЬСКИЙ ТИП ЦЕН;;03 Оптовая
3719;65652301;Разумовская М.М.,Львова С.И.,Капинос В.И. и др.;Разумовская Русский язык 6 кл. Учебник. В 2-х частях. Часть 1(ДРОФА);Дрофа;978-5-09-088259-0;16; ;2022;ФП;ФГОС;409.2;;409.2
3720;65652302;Разумовская М.М.,Львова С.И.,Капинос В.И. и др.;Разумовская Русский язык 6 кл. Учебник. В 2-х частях. Часть 2(ДРОФА);Дрофа;978-5-09-088261-3;16; ;2022;ФП;ФГОС;409.2;;409.2
3721;55638630;Львов В.В.;Разумовская Русский язык 7 кл. Контрольные и проверочные работы. ВЕРТИКАЛЬ (Дрофа);Дрофа;978-5-358-19258-4;20; ;2018; ;ФГОС;134;;120.6
3722;55587831;Разумовская М.М., Львова С.И., Капинос В.И., Львов;Разумовская Русский язык 7кл. ВЕРТИКАЛЬ (ДРОФА);Дрофа;978-5-09-088272-9;12;55608396;2022;ФП;ФГОС;704.6;;704.6
3723;55608263;Разумовская М.М., Львова С.И., Капинос В.И., Львов;Разумовская Русский язык 8 кл. ВЕРТИКАЛЬ (ФГОС) (ДРОФА);Дрофа;978-5-358-21135-3;14; ;2018-2019;ФП;ФГОС;339.2;;339.2
3724;65658381;Разумовская М.М., Львова С.И., Капинос В.И., Львов;Разумовская Русский язык 8 кл. ВЕРТИКАЛЬ (ФГОС) (ДРОФА);Дрофа;978-5-09-088262-0;12;55608263;2022;ФП;ФГОС;720.5;;720.5
3725;55638631;Литвинова М.М.;Разумовская Русский язык 8 кл. Контрольные и проверочные работы. ВЕРТИКАЛЬ (Дрофа);Дрофа;978-5-358-19048-1;18; ;2018; ;ФГОС;100.8;;100.8
3726;55608264;Разумовская М.М., Львова С.И., Капинос В.И., Львов;Разумовская Русский язык 9 кл.Учебник (ДРОФА);Дрофа;978-5-09-088267-5;16; ;2020-2022;ФП;ФГОС;720.5;;720.5
3727;55603569;Курдюмова Т.Ф.;Курдюмова Литература 10кл. Базовый уровень. ВЕРТИКАЛЬ ФГОС ( ДРОФА );Просвещение/Союз;978-5-09-080213-0;12; ;2021;ФП;ФГОС;615.5;;615.5
3728;55608265;Курдюмова Т.Ф.;Курдюмова Литература 11кл. Базовый уровень.Ч.1 ВЕРТИКАЛЬ ФГОС ( ДРОФА );Просвещение/Союз;978-5-09-078779-6;16;55612310;2021-2022;ФП;ФГОС;562.7;;562.7
3729;55608266;Курдюмова Т.Ф.;Курдюмова Литература 11кл. Базовый уровень.Ч.2 ВЕРТИКАЛЬ ФГОС ( ДРОФА );Просвещение/Союз;978-5-09-078780-2;20;55612310;2021-2022;ФП;ФГОС;562.7;;562.7
3730;55608590;Алексеев А.И., Низовцев В.А., Ким Э.В.;Алексеев  География. 8 класс. География России. Природа и население. ВЕРТИКАЛЬ ФГОС ( ДРОФА );Дрофа;978-5-09-088236-1;12; ;2022;ФП;ФГОС;698;;698
3731;65663143;Алексеев А. И., Низовцев В. А., Николина В. В.;Алексеев (УМК Классическая география) География. 9кл.Учебник ( ДРОФА );Просвещение/Союз;978-5-09-089310-7;8; ;2021-2022;ФП; ;680.9;;680.9
3732;55616846;Ким Э.В., Панасенкова О.А., Василенко М.Н.;Алексеев География 8кл. Диагностические работы ВЕРТИКАЛЬ ФГОС ( ДРОФА );Дрофа;978-5-358-16462-8;20; ;2016; ;ФГОС;39.6;;39.6
