Название товара;Короткое описание товара;Полное описание товара;Скрыт ли товар на сайте?;Артикул;Цена продажи, без учёта скидок;Старая цена;Закупочная цена;Остаток;Ед. измерения;Изображения товара;Короткое SEO описание товара;Полное SEO описание товара;Заголовок страницы товара;Мета-тег keywords;Мета-тег description;URL переменная пути;Описание модификации товара;Идентификатор товара в магазине;Пользовательский идентификатор товара;Изображение модификации товара;Название х-ки товара №1;Значение х-ки товара №1;Название св-ва для модификации товара №1;Значение св-ва для модификации товара №1;Название св-ва для модификации товара №2;Значение св-ва для модификации товара №2
Чудинова Окружающий мир 2кл. Р/Т ч. 1 ФГОС (Бином);;;1;978-5-09-090354-7;251,90;0,00;239,40;1,00000;шт;;;;Чудинова Окружающий мир 2кл. Р/Т ч. 1 ФГОС (Бином);;;Chudinova-Okruzhayushhij-mir-2kl-R-T-ch-1-FGOS-Binom;;180029144;55640281;;год выпуска;2019-2022;Автор;Чудинова Е.В.;Издательство;Бином
Чудинова Окружающий мир 2кл. Проверочные работы (Бином);;;1;978-5-09-090357-8;286,00;0,00;271,70;1,00000;шт;;;;Чудинова Окружающий мир 2кл. Проверочные работы (Бином);;;Chudinova-Okruzhayushhij-mir-2kl-Proverochnye-raboty-Binom;;180029143;55637671;;год выпуска;2019-2022;Автор;Чудинова Е.В.;Издательство;Бином
Чудинова Окружающий мир 2кл. Контрольно-диагностические работы. ФГОС (Бином);;;1;978-5-09-086997-3;251,90;0,00;239,40;1,00000;шт;;;;Чудинова Окружающий мир 2кл. Контрольно-диагностические работы. ФГОС (Бином);;;Chudinova-Okruzhayushhij-mir-2kl-Kontrolno-diagnosticheskie-raboty-FGOS-Binom;;180029142;55639399;;год выпуска;2019-2021;Автор;Чудинова Е.В.;Издательство;Просвещение/Союз
Чудинова Окружающий мир 1кл. Р/Т (Бином);;;1;978-5-09-090353-0;272,30;0,00;258,70;1,00000;шт;;;;Чудинова Окружающий мир 1кл. Р/Т (Бином);;;Chudinova-Okruzhayushhij-mir-1kl-R-T-Binom;;180029141;55637670;;год выпуска;2022;Автор;Чудинова Е.В., Букварёва Е.Н.;Издательство;Бином
Чудинова Окружающий мир 1кл. Проверочные работы ФГОС (Бином);;;1;978-5-09-085334-7;238,20;0,00;226,30;1,00000;шт;;;;Чудинова Окружающий мир 1кл. Проверочные работы ФГОС (Бином);;;Chudinova-Okruzhayushhij-mir-1kl-Proverochnye-raboty-FGOS-Binom;;180029140;55588435;;год выпуска;2020;Автор;Чудинова Е.В.;Издательство;Бином
Чудинова Окружающий мир 1кл Учебник (Бином);;;1;978-5-09-091747-6;787,40;0,00;787,40;1,00000;шт;;;;Чудинова Окружающий мир 1кл Учебник (Бином);;;Chudinova-Okruzhayushhij-mir-1kl-Uchebnik-Binom;;180029139;55637552;;год выпуска;2022;Автор;Чудинова Е.В., Букварёва Е.Н.;Издательство;Бином
Чудинова Здравствуй, первый класс! Рабочая тетрадь для адаптации ребенка в школе. 1-5 недели (Бином);;;1;978-5-09-093768-9;269,00;0,00;255,60;1,00000;шт;;;;Чудинова Здравствуй, первый класс! Рабочая тетрадь для адаптации ребенка в школе. 1-5 недели (Бином);;;Chudinova-Zdravstvuj-pervyj-klass-Rabochaya-tetrad-dlya-adaptacii-rebenka-v-shkole-1-5-nedeli-Binom;;180029138;55639124;;год выпуска;2022;Автор;Чудинова Е.В.;Издательство;Бином
Тимченко Тетрадь по письму №4, 1 класс: Комплект из 4-х рабочих тетрадей к Букварю (Вита);;;1;;87,30;0,00;83,00;1,00000;шт;;;;Тимченко Тетрадь по письму №4, 1 класс: Комплект из 4-х рабочих тетрадей к Букварю (Вита);;;Timchenko-Tetrad-po-pismu-4-1-klass-Komplekt-iz-4-h-rabochih-tetradej-k-Bukvaryu-Vita;;180029137;55630301;;год выпуска;2019;Автор;Агаркова Н.Г.;Издательство;Бином/Вита-Пресс
Тимченко Тетрадь по письму №3, 1 класс: Комплект из 4-х рабочих тетрадей к Букварю (Вита);;;1;;87,30;0,00;83,00;1,00000;шт;;;;Тимченко Тетрадь по письму №3, 1 класс: Комплект из 4-х рабочих тетрадей к Букварю (Вита);;;Timchenko-Tetrad-po-pismu-3-1-klass-Komplekt-iz-4-h-rabochih-tetradej-k-Bukvaryu-Vita;;180029136;55630299;;год выпуска;2019;Автор;Агаркова Н.Г.;Издательство;Бином/Вита-Пресс
Тимченко Тетрадь по письму №2, 1 класс: Комплект из 4-х рабочих тетрадей к Букварю (Вита);;;1;;87,30;0,00;83,00;1,00000;шт;;;;Тимченко Тетрадь по письму №2, 1 класс: Комплект из 4-х рабочих тетрадей к Букварю (Вита);;;Timchenko-Tetrad-po-pismu-2-1-klass-Komplekt-iz-4-h-rabochih-tetradej-k-Bukvaryu-Vita;;180029135;55630298;;год выпуска;2019;Автор;Агаркова Н.Г.;Издательство;Бином/Вита-Пресс
Тимченко Тетрадь по письму №1, 1 класс: Комплект из 4-х рабочих тетрадей к Букварю (Бином);;;1;978-5-09-080471-4;93,50;0,00;88,80;1,00000;шт;;;;Тимченко Тетрадь по письму №1, 1 класс: Комплект из 4-х рабочих тетрадей к Букварю (Бином);;;Timchenko-Tetrad-po-pismu-1-1-klass-Komplekt-iz-4-h-rabochih-tetradej-k-Bukvaryu-Binom;;180029134;55639393;;год выпуска;2019;Автор;Агаркова Н.Г.;Издательство;Бином
